"start","end","text"
"298560","299900"," في احدث الدنيا. "
"300360","301940"," يعني السوالي وكثرة الكلام."
"302160","305680"," لانه ورد في الحديث ان ذلك يأكل الحسنات"
"305680","307920"," كما تأكل النار الحطب."
"308200","310040"," قال ورد في الحديث الاخر. "
"310480","313260"," ان العبد في صلاة ماذا ان تظر الصلاة."
"313580","315520"," والملاكة تستقفروا له."
"316060","318560"," فلا تفرطيها المسيد في هذا الثواب. "
"318900","320220"," وتغيعوا بالعبث."
"320580","322160"," وليش تغالب القير والقال."
"322800","326580"," في الحادث ان الملاكة صليا على احدكم. "
"326860","330060"," ما دام في مجزي تقول الله مقفل له."
"330420","332900"," الله مرحمه ما لم يحدث."
"333800","336140"," وفريوات كنت وما يحدث. "
"336380","338320"," قال افسوا او يضرب وفريوات."
"338600","340820"," وحدكم في الصلاة ان ظفرواitating."
"340820","343640"," ما كانت الصلاة بالتحب вещь وايضه من الخروج"
"343640","344180"," من المسيد. "
"344220","345120"," أو البغال ومزلي."
"345680","348680"," واجدا وقيمة الصلاة فكم إليها عند عندك اول"
"348680","354540"," المؤذين كركامة السلح عندما يقول المؤذين كركامة السلحة"
"354540","359180"," جوه لا تجمو جبلها وإذا وقيمة السلاح فأكم"
"359180","362540"," إليها عندك اول المؤذين كركامة السلاح لأن النبي"
"362540","364200"," صلى الله عليه وسلم كان افعل به ذلك"
"364200","368420"," وأن كنته وأن كنته عنده بدئ لكامة فلا"
"368420","372620"," بأسبة ذلك هذه كان المؤمنين يرا الإيمام فإذا"
"372620","376340"," كان لا يرىه على لكامة فالهوظل الله يقوم"
"376340","380440"," حتى يعراه يهى المسلم احالي سأنتك وانتكون في"
"380440","383200"," الصف الأول وقال النبي صلى الله عليه وسلم"
"383200","386500"," لو يعلم الناس وما في النداية العدان والصف"
"386500","391040"," الأول ثم لم يجد إلا نستهم عليها يقترموا"
"391040","395260"," بذلك لستهم متبقوا عليه قال صلى الله عليه"
"395260","398720"," وسلم خير وصفور طرع هذا في عاجش عاجثنين"
"398720","402800"," طير مدين رسمين دخلوا وعني كله حدي بغياء"
"402800","406480"," الذين هو فالوحصل الخلاب ما ينتهي اللي بالغراء"
"406480","410800"," يعملوا بغراء فهيهما تجع في الغراء يأذده فاذا"
"410800","416140"," يدل على يشه ميت الأذاني فضره كذلك الصف"
"416140","419700"," الأول وقال صلى الله عليه وسلم خير صفوف"
"419700","423780"," البيجاء أما المأدر رسمه وحقب العدام الغيري وحل"
"423780","427520"," صلى الله عليه وسلم خير صفوف البيجاء فهي"
"427520","433620"," كان هل او الحير والوها شركها آخرها وخير"
"433620","438700"," صفوف النساء آخرها والشركها أولها هذا يعني إذا"
"438700","441060"," سلنا إذا صلنا إذا صلنا إذا صلنا فالنسمع"
"441060","443920"," الزيجال قم اذا صلنا هذا ملح أجم فاصل"
"444120","450440"," فخير صفوفها أولها وحرس على القرب من الأمام"
"450440","453140"," فقد قال النبي الصلاة سلم لليني مقUSTIN أولول"
"453140","458020"," حلام هي هذا بالنسبة للرجول وأما بالنسبة المرحة"
"458020","461360"," فالصفو الأخير من صفوه النساء أفضل ولاها لكولي"
"461360","463200"," صلى الله عليه وسلم وخيروا صفوه في النساء"
"463200","466160"," آخرها إنه ذلك بعد لها أن رؤية بالجال"
"466160","471380"," ويتأكد في حكي الإمام والمصليل الهتمام بتسويت الصفوف"
"471380","473900"," قال صلى الله عليه وسلم سوو صفو فكم"
"473900","477180"," وإنك تسويت الصفوه من تمام الصلاة متبقوا العلي"
"477180","480780"," العديد الآخر سوونا صفو فكم أو ريو خالي"
"480780","484320"," فان الله بينه ويوهيكم وهذا دول على أنه"
"484320","488120"," كبيرة على بتسويت الصمنة كبيرة للدروب وتسويت الصفوف"
"488120","495080"," ايث عديلها بمحادات المناكبة والأكبر ويوهي كنا هذا"
"495080","500780"," طريقة يعني وهذا طريقة بشوية عشان شفن النساء"
"500780","505100"," وهذا الطريقة مهو طبعاً بعد أن الناس يقول"
"505100","509100"," كدهة يقول بيكلك يقول بيكلكة بعد أن الناس"
"509100","514240"," يقول كده يقول بيكلكة ويبعد بمناك بقالة لازل"
"514240","519059"," تكم وتجاري بجميعان الكاب مع الكاب والمنكيم معهم"
"519059","520700"," هذه السنة النبي صلى الله عليه وسلم التي"
"520700","525080"," علم السعبة وليم تهاري الله احد بقالة دول"
"525080","528540"," على قولك ستصل والله خارينا ممثيد يزعلون بجباع"
"528540","533680"," وعمل الله فالكي فرد لا يقالة فالكي فرد"
"534640","542740"," فتعجب جبها المصالعنا الثالث نقول لك هذا سنة"
"542740","546500"," تجارب الكاب مع الكاب ومحادات الكاب مع الكاب"
"546500","551120"," مع المكب مع المكب ويكاكد في حق المسلين"
"551120","554060"," سد الفرج والتراس في السهوه لكولي فراس اللهم"
"554060","558540"," اقيموا سوففكم وتراس راول بخاري وعنه لا سيكون"
"558540","562540"," الصفوف حتى لا يكون بينكم فرج في المراصة"
"562540","568080"," الاتساق وبعض المعموم ببعض يتسل بما بينهم وان"
"568080","572100"," سد الخلال فلا يبقى ولا تبقى فروجات للشيطان"
"572100","574840"," وقد كان النبي صلى الله عليه وسلم يحتمو"
"574840","579420"," بتسيوت الصفوف وتراس المعموم فيها اهتماما بالغل من"
"579420","583280"," مهدل على همية ذلك فايدته وليس معنا رسل"
"583280","586220"," الصفوف ما يفعلوا بعض البيوهال اليوم من فهد"
"586220","589560"," يريد ليه حتى يظايك من بياني به يعني"
"589560","594440"," انها كوريج المعرجل واجمبوا بعيد وجبوا بعيد يعني"
"594440","599100"," هذا العمل يوجد فروج في الصفوف ويوجد المسلين"
"599100","601760"," ولا أسلل لو في الشرفة ينبغل من المسلمين"
"601760","606460"," اهتماموا بذلك والحلس وعليك تداى بنبيهم وحتماموا لسلاتهم"
"606460","609260"," وفق الله الجميع لما يوحبوا يردى هذا والله"
"609260","625770"," علم صلى الله وسلم عن البيوهال ومحمد يعني"
"625770","628490"," إذا كانوا بعضنا في جوال "
